Section,Company/Product,Category,Key Metrics,Status,How It Works,Relevance to Personal Data as Agent Context,Source
1. Autonomous Coding Agents,Cursor (Anysphere),AI code editor,"$29.3B valuation; $2B+ ARR (Mar 2026); 1M+ DAU; 360K paying customers",Live,"Indexes entire codebase with custom embedding model; .cursorrules file provides standing AI instructions; Cloud Agents run autonomously on Cursor infrastructure; RL-based suggestion filtering retrains multiple times per day on user accept/reject signals","Cursor learns user preferences via implicit signals (accept/reject); .cursorrules is a form of personal context injection; no cross-platform personal data ingestion",https://www.cnbc.com/2025/11/13/cursor-ai-startup-funding-round-valuation.html
1. Autonomous Coding Agents,Claude Code (Anthropic),CLI coding agent,"$2.5B ARR; $19B total Anthropic ARR; 99.9th percentile turn duration 45+ min",Live,"CLI agent with 6-layer memory system (CLAUDE.md files); hooks for lifecycle control; sub-agents with isolated context windows; background tasks via Ctrl+B; Agent SDK for external automation","CLAUDE.md files are static personal context; memory system captures session history but not cross-platform personal data; hooks enable deterministic context injection at session start",https://www.anthropic.com/research/measuring-agent-autonomy
1. Autonomous Coding Agents,Devin (Cognition Labs),Autonomous coding agent,"$10.2B valuation; $155M+ combined ARR; PR merge rate 67%",Live,"Handles full project lifecycle in secure sandbox; multi-agent dispatch; Devin Wiki and Search for codebase understanding; acquired Windsurf for IDE-based coding","Operates on codebase context only; no personal data ingestion; 33% PR rejection rate suggests context gaps that personal data could partially address",https://techcrunch.com/2025/09/08/cognition-ai-defies-turbulence-with-a-400m-raise-at-10-2b-valuation/
1. Autonomous Coding Agents,GitHub Copilot Coding Agent,Autonomous PR agent,"1.2M PRs/month; 4.7M paid subscribers; 55% faster task completion",Live,"Creates PRs from issues in GitHub Actions sandbox; agent mode expanding to JetBrains; Eclipse; Xcode; all PRs require independent human review; agent cannot approve or merge its own work","Learns from repository context; no personal data beyond codebase; 30% suggestion acceptance rate indicates large gap between agent output and developer intent",https://github.com/newsroom/press-releases/agent-mode
1. Autonomous Coding Agents,OpenAI Codex,Cloud-sandboxed coding agent,"GPT-5.3-Codex: 56.8% SWE-Bench Pro; 25-hour autonomous run demonstrated",Live,"Two modes: cloud sandbox (parallel background tasks; no internet) and terminal CLI (local execution); auto-detects setup scripts; configurable internet access and approval controls","Cloud sandbox isolation prevents personal data access during execution; operates purely on repository context; 25-hour autonomous runs demonstrate long-horizon capability without personal context",https://openai.com/index/introducing-codex/
1. Autonomous Coding Agents,Cline,Open-source VS Code agent,"5M+ developers; $32M Series A; Plan/Act modes",Live,"Open-source autonomous coding agent with Plan/Act modes; MCP integration; requires external API keys; Samsung beta-testing for device development","MCP integration enables connecting to personal data sources; open-source architecture allows custom context injection; no built-in personal data ingestion",https://cline.bot/
1. Autonomous Coding Agents,Aider,Open-source CLI agent,"39K+ GitHub stars; 4.1M+ installations; 49.2% SWE-bench Verified",Live,"Repository map creates condensed codebase overview; automatically pulls context from related files; every AI change gets its own git commit; connects to 100+ models","Context management limited to repository files; no personal data integration; repository map is a form of automated context provision that reduces manual context-setting interventions",https://aider.chat/
2. Agent Memory Infrastructure,Mem0,Memory API for AI agents,"$24M raised; 186M API calls Q3 2025; 41K GitHub stars; 13M PyPI downloads",Live,"Persistent structured memory via API; graph-based memory with sub-second retrieval; claims 26% higher response accuracy vs OpenAI memory; 91% lower p95 latency; exclusive memory provider for AWS Agent SDK","Captures session-derived memories; not personal data from external platforms; memory is agent-generated rather than user-imported; closest infrastructure to what cross-platform personal context would require",https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/
2. Agent Memory Infrastructure,Zep,Context engineering platform,"$500K seed; YC W24",Live,"Combines chat history; business data; and user behavior; tracks how facts change over time (temporal reasoning); graph-based memory with relationship modeling","Temporal reasoning on evolving facts aligns with personal data that changes over time; limited traction data makes adoption assessment difficult",https://www.getzep.com/
2. Agent Memory Infrastructure,LangChain / LangSmith,Agent framework + observability,"$1.25B valuation; $125M Series B; 47M+ PyPI downloads",Live,"Most adopted AI agent framework with commercial observability platform; LangSmith trace volume 12x year-over-year; provides checkpointing and memory abstractions for agent state","Framework-level memory support; enables custom personal data integration but provides no personal data itself; infrastructure layer that a personal data context system would plug into",https://fortune.com/2025/10/20/exclusive-early-ai-darling-langchain-is-now-a-unicorn-with-a-fresh-125-million-in-funding/
